state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_AZ;enrollmetric;pp_stloc_raw_AZ;pp_fed_raw_AZ;pp_total_raw_AZ;schoolstloc_raw_AZ;schoolfed_raw_AZ;schooltot_raw_AZ;countenroll;noaudit;nositecen;adfinvars;distflex;ppperfed_raw_AZ;ppperstloc_raw_AZ;ppnonperfed_raw_AZ;ppnonperstloc_raw_AZ;pppersonnel_raw_AZ;ppnonpersonnel_raw_AZ;flag_NERDS
AZ;2018-2019;91878;91879;Archway Classical Academy Glendale;Great Hearts Academies - Archway Glendale;0400866;040086603356;555; KG-05;2;555;October Count Day;9007,162969;121,4462687;9128,609238;4998975,448;67402,67913;5066378,127;1;1;1;1;0;121,4462687;5625,669282;0;3381,493687;5747,115551;3381,493687;0
AZ;2018-2019;92656;92708;Archway Classical Academy Lincoln;Great Hearts Academies - Archway Lincoln;0400925;040092503464;697; KG-05;2;697;October Count Day;8854,839457;203,1171341;9057,956591;6171823,102;141572,6425;6313395,744;1;1;1;1;0;203,1171341;5673,830132;0;3181,009325;5876,947266;3181,009325;0
AZ;2018-2019;91758;91785;Archway Classical Academy North Phoenix;Great Hearts Academies - Archway North Phoenix;0400873;040087303353;835; KG-06;2;835;October Count Day;8268,192061;115,0865344;8383,278595;6903940,371;96097,25625;7000037,627;1;1;1;1;0;115,0865344;5186,384436;0;3081,807625;5301,47097;3081,807625;0
AZ;2018-2019;90857;90994;Archway Classical Academy Scottsdale;Great Hearts Academies - Archway Scottsdale;0400841;040084103259;898; KG-05;2;898;October Count Day;9594,566005;61,16477034;9655,730776;8615920,273;54925,96377;8670846,237;1;1;1;1;0;61,16477034;5506,118975;0;4088,44703;5567,283746;4088,44703;0
AZ;2018-2019;92704;92707;Archway Classical Academy Trivium East;Great Hearts Academies - Archway Trivium East;0400930;040093003462;518; KG-05;2;518;October Count Day;8042,875769;122,7209431;8165,596712;4166209,648;63569,44853;4229779,097;1;1;1;1;0;122,7209431;4977,2147;0;3065,661069;5099,935643;3065,661069;0
AZ;2018-2019;90915;91001;Archway Classical Academy Trivium West;Great Hearts Academies - Archway Trivium West;0400832;040083203290;534; KG-12;4;534;October Count Day;8098,129798;118,9881584;8217,117957;4324401,312;63539,67661;4387940,989;1;1;1;1;0;118,9881584;5184,815845;0;2913,313954;5303,804003;2913,313954;0
AZ;2018-2019;90916;91000;Archway Classical Academy Veritas;Great Hearts Academies - Archway Veritas;0400833;040083303283;718; KG-12;4;719;October Count Day;8786,18908;96,59473804;8882,783818;6317269,949;69451,61665;6386721,565;1;1;1;1;0;96,59473804;5257,4065;0;3528,78258;5354,001238;3528,78258;0
AZ;2018-2019;89486;89487;Arete Preparatory Academy;Great Hearts Academies - Arete Prep;0400757;040075702820;556; 06-12;4;556;October Count Day;8988,8337;111,0603843;9099,894084;4997791,537;61749,57367;5059541,111;1;1;1;1;0;111,0603843;5680,892563;0;3307,941137;5791,952947;3307,941137;0
AZ;2018-2019;6378;10755;Arizona Academy of Science And Technology, Inc.;Arizona Academy of Science and Technology;0400164;040016401726;NA; NA;NA;56;October Count Day;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1
AZ;2018-2019;134379;156568;Arizona Agribusiness & Equine Center INC.;Arizona Agribusiness & Equine Center, Inc. - Mesa;0400969;040096903543;82; 09-12;4;82;October Count Day;7849,474536;1845,224876;9694,699412;643656,912;151308,4398;794965,3518;1;1;1;1;0;249,6870548;6056,066683;1595,537821;1793,407853;6305,753738;3388,945675;0
