state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_ND;enrollmetric;pp_stloc_raw_ND;pp_fed_raw_ND;pp_total_raw_ND;schoolstloc_raw_ND;schoolfed_raw_ND;schooltot_raw_ND;countenroll;noaudit;nositecen;adfinvars;distflex;flag_NERDS
ND;2018-2019;17003;52781;Beach Public School District;Lincoln Elementary School;3802380;380238000024;141; PK-06;2;123;September Count;13053,65;0;13053,65;1605598,95;0;1605598,95;1;0;1;0;0;0
ND;2018-2019;40007;85651;Belcourt Public School District;Turtle Mountain Community Elementary School;3802530;380253000750;NA; PK-05;2;690;September Count;8532,89;7470,1;16002,99;5887694,1;5154369;11042063,1;1;0;1;0;0;1
ND;2018-2019;40007;85673;Belcourt Public School District;Turtle Mountain Community High School;3802530;380253000752;NA; 09-12;4;536;September Count;3823,21;10042,5;13865,71;2049240,56;5382780;7432020,56;1;0;1;0;0;1
ND;2018-2019;40007;85662;Belcourt Public School District;Turtle Mountain Community Middle School;3802530;380253000751;NA; 06-08;3;394;September Count;6001,9;2682,83;8684,74;2364748,6;1057035,02;3421787,56;1;0;1;0;0;1
ND;2018-2019;45013;08841;Belfield Public School District;Belfield Elementary School;3806210;380621000180;150; PK-06;2;127;September Count;12164,67;362,72;12527,39;1544913,09;46065,44;1590978,53;1;0;1;0;0;0
ND;2018-2019;45013;08843;Belfield Public School District;Belfield High School;3806210;380621000181;106; 07-12;4;106;September Count;12164,67;362,72;12527,39;1289455,02;38448,32;1327903,34;1;0;1;0;0;0
ND;2018-2019;29027;09281;Beulah Public School District;Beulah Elementary School;3800032;380003200031;297; PK-04;2;282;September Count;10568,93;639,54;11208,48;2980438,26;180350,28;3160791,36;1;0;1;0;0;0
ND;2018-2019;29027;09243;Beulah Public School District;Beulah High School;3800032;380003200032;218; 09-12;4;218;September Count;9421,83;0;9421,83;2053958,94;0;2053958,94;1;0;1;0;0;0
ND;2018-2019;29027;09262;Beulah Public School District;Beulah Middle School;3800032;380003200738;222; 05-08;3;222;September Count;6874,25;0;6874,25;1526083,5;0;1526083,5;1;0;1;0;0;0
ND;2018-2019;04001;17801;Billings Co Public School District;Demores Elementary School;3802840;380284000033;46; PK-08;3;36;September Count;26033,71;128,64;26162,35;937213,56;4631,04;941844,6;1;0;1;0;0;0
